TopSpeed_KmH,Range_Km,Efficiency_WhKm,FastCharge_KmH,RapidCharge,PowerTrain,PlugType,Formation_Energy,Above_Hull,Band_Gap,Temp,Density,Volume,HasBandstructure,Crystal_System,Discharge_Time,Decrement,Max_Voltage_Discharging,Min_Voltage_Charging,Time_constant_current,Charging_time,RUL
200,450,178,650,1,2,1,-2.496,0.052,0.988,46,2.4,471.249,1,1,6008.07,1065.372059,4.045,3.48,5954.47,5954.47,1098
165,250,153,210,1,3,1,-2.721,0.058,0.921,78,2.89,840.856,0,1,423271.35,168773.265,4.27,3.108,430028.84,430028.84,1097
160,440,175,590,1,2,1,-2.649,0.067,0.584,16,2.588,175.701,0,1,2261.34,883.2,4.038,3.901,2922.69,6070.11,1096
260,375,223,780,1,1,1,-2.942,0.069,3.823,68,2.31,980.879,0,1,2259.46,883.199,4.042,3.373,6161.38,9310.98,1095
130,195,166,170,1,3,1,-2.712,0.073,1.262,34,2.847,429.302,1,1,2256.61,878.4,4.042,3.374,6154.37,9296.64,1094
140,220,193,260,1,3,1,-2.769,0.077,3.188,64,2.517,929.064,0,1,2252.83,873.601,4.043,3.374,6147.33,9243.58,1093
150,185,156,260,1,3,1,-2.782,0.078,1.497,20,3.104,228.983,1,1,2250.62,868.801,4.044,3.374,6140.29,9245.53,1092
150,275,164,420,1,3,1,-2.871,0.082,2.736,28,2.672,349.386,1,1,2248.6,868.797,4.044,3.375,6133.34,9248.32,1091
217,425,171,930,1,1,1,-2.612,0.083,0,30,2.887,362.254,1,1,2245.05,864,4.044,3.374,6126.4,9215.78,1090
160,290,179,230,1,2,1,-2.794,0.083,2.862,34,2.649,389.814,1,1,2242.53,861.594,4.044,3.376,6119.36,9190.62,1089
240,425,197,850,1,1,1,-2.868,0.085,3.261,28,2.628,355.18,1,1,2239.56,859.196,4.044,3.377,6112.36,9179.43,1088
261,435,167,910,1,1,1,-2.778,0.085,3.169,22,2.92,251.377,1,1,2237.35,856.797,4.044,3.377,6105.27,9181.21,1087
160,420,183,560,1,2,1,-2.653,0.085,0.716,24,3.281,288.498,1,1,2236.26,856.796,4.045,3.377,6098.34,9198.3,1086
160,350,166,490,1,2,1,-2.608,0.087,0,30,2.892,361.543,1,1,2234.38,852,4.045,3.378,6091.36,9176.38,1085
180,375,200,470,1,1,1,-2.607,0.087,0.37,30,2.911,359.241,1,1,2232.16,852,4.045,3.378,6084.33,9145.58,1084
150,235,161,270,1,2,1,-2.589,0.088,0.982,56,3.361,608.454,1,1,2230.78,849.609,4.045,3.377,6084.25,9137.28,1083
150,250,180,380,1,3,1,-2.329,0.088,0.915,15,3.853,147.276,1,1,2229.16,849.594,4.045,3.377,6077.38,9131.56,1082
190,280,231,450,1,1,1,-2.605,0.089,0,30,2.898,360.853,1,1,2227.64,847.172,4.045,3.378,6077.34,9142.98,1081
167,370,173,350,1,3,1,-2.604,0.09,0,30,2.91,359.343,1,1,2226.38,847.203,4.045,3.377,6070.36,9149.66,1080
135,315,165,230,1,3,1,-2.832,0.091,1.37,36,2.868,413.524,1,1,2223.88,844.797,4.045,3.378,6063.3,9133.25,1079
210,750,267,710,1,1,1,-2.79,0.091,1.342,32,2.584,1518.85,0,1,2222.62,840,4.045,3.379,6056.36,9112.39,1078
150,180,178,240,1,3,1,-2.601,0.093,0,30,3.001,348.469,1,1,2221.02,842.406,4.046,3.378,6049.28,9112.14,1077
157,325,172,390,1,3,2,-2.439,0.095,1.291,24,3.671,208.787,1,1,2220.19,840,4.046,3.378,6049.38,9136.16,1076
160,270,193,190,1,3,2,-2.82,0,2.703,20,3.287,217.186,1,1,2218.41,837.594,4.046,3.393,6042.31,9101.06,1075
160,425,181,570,1,2,1,-2.82,0.001,2.755,40,3.309,431.516,1,1,2216.89,835.203,4.046,3.379,6035.36,9112.24,1074
140,310,168,230,1,3,1,-2.625,0.001,3.443,32,3.067,350.466,0,1,2214.97,825.594,4.025,3.604,5999,9212.78,1073
200,350,171,440,1,1,1,-2.621,0.005,3.027,16,3.073,174.862,1,1,2219.75,828,4.041,3.686,6000.31,9174.41,1072
250,515,184,560,1,1,0,-2.619,0.007,3.401,32,3.005,357.648,1,1,2222.5,835.188,4.045,3.382,6035.28,9125.16,1071
155,255,154,210,1,3,1,-2.985,0.009,3.362,32,2.43,457.962,0,1,2220.53,832.813,4.045,3.379,6049.38,9155.72,1070
200,380,228,610,1,1,1,-2.731,0.011,3.415,28,2.81,297.609,1,1,2217.28,830.407,4.045,3.379,6035.38,9115.94,1069
130,195,166,170,1,3,1,-2.61,0.012,3.026,28,2.852,360.726,1,1,2214.66,828,4.045,3.381,6028.34,9122.81,1068
130,195,166,170,1,3,1,-2.608,0.014,2.967,42,2.849,1444.106,0,1,2211.25,828,4.044,3.381,6021.25,9074.06,1067
167,365,175,340,1,3,1,-2.608,0.014,2.969,35,2.848,1444.706,0,1,2210.59,828,4.045,3.381,6014.38,9118.03,1066
150,335,173,210,1,3,1,-2.677,0.014,2.466,16,2.616,174.413,1,1,2208.56,825.594,4.045,3.382,6007.22,9098.56,1065
250,365,195,730,1,1,1,-2.722,0.02,3.442,14,2.824,148.024,1,1,2206.88,823.219,4.045,3.382,6000.25,9091.78,1064
150,575,104,540,1,1,1,-2.601,0.02,2.904,28,2.873,358.057,1,1,2203.19,820.812,4.045,3.383,5993.38,9083.59,1063
150,335,188,350,1,3,1,-2.71,0.021,3.159,38,2.978,427.934,1,1,2202.53,820.782,4.045,3.384,5986.38,9089.47,1062
200,365,237,590,1,1,1,-2.599,0.023,0.401,14,2.87,179.222,1,1,2200.34,816,4.044,3.386,5979.34,9089.41,1061
410,970,206,920,1,1,1,-2.603,0.023,3.448,32,3.028,354.961,0,1,2198.19,816,4.044,3.385,5972.22,9067.53,1060
150,255,176,390,1,3,1,-2.635,0.024,3.028,36,3.463,408.228,1,1,2197,813.593,4.044,3.387,5965.25,9074.62,1059
160,420,183,560,1,2,1,-2.603,0.024,2.931,16,3.06,175.643,1,1,2195.94,813.593,4.044,3.387,5965.38,9079.66,1058
250,450,211,490,1,1,0,-2.793,0.028,3.273,20,2.602,274.334,0,1,2194.12,811.219,4.044,3.387,5958.34,9049.97,1057
145,170,168,190,1,2,1,-2.59,0.032,2.839,28,2.843,361.8,1,1,2192.56,813.594,4.044,3.388,5958.28,9049.44,1056
150,250,180,380,1,3,1,-2.586,0.038,1.378,30,2.921,360.017,1,1,2190.75,811.218,4.044,3.387,5951.31,9029.53,1055
135,130,164,560,0,2,0,-2.887,0.04,3.144,52,2.69,679.101,1,1,2189.5,808.813,4.044,3.388,5944.38,9049.91,1054
150,250,180,380,1,3,1,-2.577,0.045,3.01,14,2.366,217.361,1,1,2188.19,806.437,4.044,3.389,5937.31,9059.31,1053
261,505,188,550,1,1,0,-2.879,0.049,3.186,52,2.656,687.841,1,1,2186.25,806.438,4.043,3.391,5937.38,9027.75,1052
135,255,161,230,1,3,1,-2.572,0.05,3.028,84,2.857,1080.318,0,1,2185.56,806.375,4.043,3.39,5930.38,9015.12,1051
241,410,177,900,1,1,1,-2.598,0.051,3.159,52,3.149,619.645,1,1,2185.12,806.438,4.043,3.39,5930.38,9051.06,1050
160,440,198,520,1,3,1,-2.598,0.051,2.01,48,2.911,654.481,1,1,2179.06,789.562,4.022,3.625,5894,9069.94,1049
200,365,232,340,1,1,1,-2.571,0.051,3.042,84,2.872,1074.67,0,1,206007.26,-64192.716,4.271,3.166,84474.65,84474.65,1048
180,450,200,430,1,2,1,-2.754,0.051,3.222,22,2.758,267.162,1,1,2182.56,793.2,4.004,3.381,6200.32,9459.46,1047
250,425,197,890,1,1,1,-2.57,0.052,2.899,14,2.719,189.186,1,1,2182.62,798,4.007,3.395,5912.35,9114.85,1046
123,190,200,190,1,3,1,-2.476,0.055,1.715,46,2.399,472.581,1,1,2180.13,797.6,4.007,3.394,5912.35,9093.92,1045
190,460,261,710,1,1,1,-2.566,0.055,2.955,14,2.644,194.528,1,1,2177.34,795,4.008,3.394,5912.32,9058.18,1044
130,160,194,710,0,3,0,-2.748,0.058,3.392,22,2.878,256.015,1,1,2175.17,795,4.007,3.395,5912.38,9064.41,1043
180,430,209,410,1,1,1,-2.868,0.059,3.215,26,2.59,352.651,1,1,2173.44,793,4.008,3.398,5912.35,9080.74,1042
160,230,165,260,1,2,1,-2.562,0.059,2.871,28,2.843,361.839,1,1,2170.56,789.6,4.008,3.397,5912.32,9060.73,1041
160,400,193,540,1,1,1,-2.564,0.06,1.331,30,3.026,347.513,1,1,2168.26,789.6,4.008,3.399,5876.32,9048.26,1040
250,385,217,770,1,1,1,-2.564,0.06,1.684,30,2.741,383.694,1,1,2165.54,788,4.008,3.399,5876.32,9027.49,1039
190,390,244,460,1,1,1,-2.324,0.06,1.646,32,3.782,287.056,1,1,2163.77,786,4.008,3.401,5876.39,9027.52,1038
140,225,156,270,1,3,1,-2.561,0.061,2.724,28,2.895,355.354,1,1,2162.18,783.6,4.008,3.401,5876.32,9008.32,1037
155,235,167,230,1,3,1,-2.56,0.062,2.587,14,2.947,174.534,1,1,2160.17,786,4.008,3.401,5876.35,9000.64,1036
180,410,188,550,1,1,1,-2.562,0.062,1.511,30,2.991,351.593,1,1,2158.66,784,4.008,3.401,5876.36,9023.48,1035
130,95,176,550,0,2,0,-2.56,0.062,2.727,28,2.889,356.057,1,1,2155.94,780,4.007,3.402,5876.33,8968.09,1034
180,340,206,360,1,1,1,-2.913,0.062,3.661,68,2.417,940.148,0,1,2154.69,782.4,4.008,3.402,5840.36,8974.28,1033
260,390,215,810,1,1,1,-2.955,0.063,3.031,31,2.711,400.68,1,1,2152.42,782.4,4.008,3.403,5840.31,8965.95,1032
160,340,171,470,1,2,1,-2.561,0.063,1.259,30,2.943,357.383,0,1,2151.42,782.4,4.008,3.405,5840.33,8962.08,1031
250,440,216,480,1,1,0,-2.555,0.066,2.576,28,3.068,335.324,1,1,2149.92,778.4,4.008,3.403,5840.34,8958.81,1030
130,100,167,480,0,2,0,-2.553,0.068,2.736,84,2.499,1234.971,0,1,2148.48,778.4,4.008,3.404,5840.31,8930.36,1029
180,360,194,380,1,2,1,-2.556,0.069,1.923,30,2.891,363.781,1,1,2147.39,776.4,4.008,3.404,5840.33,8962.02,1028
140,330,273,290,1,3,1,-2.553,0.069,2.164,56,3.289,625.575,1,1,2145.83,777,4.008,3.405,5840.27,8942.92,1027
150,250,168,330,1,3,1,-2.84,0.069,3.081,28,2.665,351.384,1,1,2144.58,775,4.008,3.404,5804.31,8963.16,1026
180,390,256,740,1,2,1,-2.696,0.072,3.017,64,2.611,899.949,0,1,2142.5,772.8,4.008,3.405,5804.33,8947.59,1025
190,295,219,470,1,1,1,-2.553,0.073,2.649,32,2.877,373.622,1,1,2147.06,763.218,4.018,3.653,5788.97,9007.12,1024
180,400,193,540,1,1,1,-2.898,0.077,3.171,68,2.518,902.44,1,1,2145.16,766,4.003,3.731,5768.34,9026.06,1023
160,320,181,440,1,2,1,-2.409,0.078,1.658,24,3.692,208.83,1,1,2147.28,774,4.006,3.41,5804.34,8977.31,1022
210,320,270,510,1,1,1,-2.827,0.081,2.614,28,2.719,344.39,1,1,2145.28,772.8,4.007,3.406,5804.34,8974.09,1021
130,95,176,320,0,2,0,-2.758,0.082,3.073,34,2.702,383.352,1,1,2143.12,774,4.008,3.407,5804.34,8977.41,1020
167,365,175,320,1,3,1,-2.257,0.083,1.476,15,3.942,145.111,1,1,2140.53,770,4.008,3.407,5804.34,8960.47,1019
200,420,207,500,1,1,1,-2.528,0.094,2.351,28,3.058,336.427,1,1,2138.88,770,4.008,3.407,5804.31,8950.19,1018
150,250,168,330,1,3,1,-2.89,0.095,0.332,48,2.555,621.599,1,1,2137.31,768,4.007,3.407,5804.38,8971.72,1017
160,340,171,470,1,2,1,-2.785,0.098,0.03,36,2.788,426.538,0,1,2135.19,769.2,4.007,3.408,5804.38,8927.5,1016
157,230,170,220,1,3,1,-2.876,0.109,0.264,48,2.309,687.797,1,1,2133.34,769,4.007,3.408,5768.34,8944.38,1015
190,325,222,420,1,2,1,-2.423,0.117,2.528,78,2.474,1219.453,0,1,2130.69,765.6,4.007,3.408,5768.34,8896.53,1014
160,330,191,440,1,3,1,-2.537,0,2.957,16,3.216,170.265,1,1,2128.56,768,4.007,3.409,5768.34,8901.75,1013
210,335,258,540,1,1,1,-2.523,0.014,2.934,16,3.201,171.08,1,1,2126.97,762,4.006,3.41,5768.31,8899.03,1012
200,325,194,440,1,1,1,-2.516,0.02,2.769,32,3.15,347.706,1,1,2125.78,762,4.006,3.411,5768.31,8913.22,1011
200,375,232,450,1,1,1,-2.515,0.021,2.827,32,3.108,352.365,1,1,2124.41,764.4,4.006,3.411,5768.38,8916.5,1010
190,400,238,480,1,1,1,-2.51,0.027,2.457,16,3.088,177.349,1,1,2122.03,762.4,4.005,3.411,5732.34,8875.09,1009
233,450,161,940,1,1,1,-2.617,0.038,2.876,38,3.078,420.615,1,1,2112,759,4.005,3.411,5732.34,8892.59,1008
160,270,167,250,1,2,1,-2.495,0.042,2.684,32,3.13,349.97,1,1,2118.81,760.8,4.006,3.413,5732.34,8892.44,1007
210,400,181,620,1,1,1,-2.452,0.043,0,30,3.115,344.253,1,1,2117.62,756.8,4.006,3.412,5732.31,8905.44,1006
180,360,206,560,1,2,1,-2.478,0.047,2.825,52,3.322,599.601,1,1,2115.12,757.2,4.005,3.414,5732.38,8854.25,1005
145,170,168,190,1,2,1,-2.444,0.048,1.941,46,2.409,474.87,1,1,2114.31,755.2,4.006,3.414,5732.38,8898.38,1004
250,610,180,620,1,1,1,-2.638,0.052,1.711,20,2.745,263.753,1,1,2112.31,753,4.005,3.414,5696.38,8870.56,1003
150,190,168,220,1,3,1,-2.687,0.053,3.233,22,2.861,261.142,1,1,2111.19,753,4.005,3.414,5696.38,8860.06,1002
150,275,164,420,1,3,1,-2.438,0.057,0.315,30,3.035,353.345,0,1,2100.94,748.8,3.991,3.415,6147.88,8766.5,1001
225,310,153,650,1,2,1,-2.632,0.058,1.238,20,3.405,212.692,1,1,2109.81,739.187,4.014,3.674,5656,8884.06,1000
180,400,193,540,1,1,1,-2.436,0.059,0.35,30,3.052,351.323,0,1,2124.61,751.2,3.998,3.397,6056.26,9425.95,998
180,370,216,440,1,1,1,-2.376,0.06,1.281,42,2.998,1399.85,0,1,2124.16,752,3.999,3.415,5732.32,8951.84,997
144,220,164,230,1,3,2,-2.433,0.063,0.541,30,3.092,346.722,1,1,2121.79,751.998,4,3.415,5732.22,8950.82,996
167,400,160,380,1,3,1,-2.372,0.063,1.468,28,2.961,354.341,1,1,2119.97,749.6,4.001,3.417,5732.35,8959.65,995
200,450,178,650,1,2,1,-2.372,0.064,1.373,14,2.964,176.961,1,1,2117.7,747.6,4.001,3.417,5732.35,8965.47,994
165,250,153,210,1,3,1,-2.431,0.064,0.022,30,3.032,353.617,1,1,2114.24,747.6,4.001,3.419,5696.35,8932.74,993
160,440,175,590,1,2,1,-2.369,0.066,1.374,28,3.015,347.967,1,1,2111.11,744,4.001,3.419,5696.35,8918.18,992
260,375,223,780,1,1,1,-2.369,0.067,1.59,14,2.998,174.957,1,1,2107.84,744,4.001,3.421,5696.32,8919.01,991
130,195,166,170,1,3,1,-2.598,0.069,2.727,64,2.739,872.856,1,1,2105.28,740,4.001,3.421,5696.32,8897.66,990
140,220,193,260,1,3,1,-2.669,0.072,2.883,22,2.947,253.565,1,1,2102.91,738,4.001,3.422,5660.35,8913.22,989
150,185,156,260,1,3,1,-2.858,0.075,3.254,68,2.429,943.786,0,1,2100.16,740.4,4.001,3.423,5660.32,8882.59,988
150,275,164,420,1,3,1,-2.418,0.078,0.147,30,3.003,357.078,1,1,2098.37,738.4,4.001,3.424,5660.32,8886.08,987
217,425,171,930,1,1,1,-2.357,0.079,1.434,14,2.952,177.732,1,1,2095.59,734.4,4.001,3.425,5660.34,8857.02,986
160,290,179,230,1,2,1,-2.352,0.083,1.403,84,3.017,1043.295,0,1,2093.19,735,4.001,3.424,5660.39,8846.05,985
240,425,197,850,1,1,1,-2.772,0.085,3.159,28,2.771,341.661,1,1,2091.2,736.8,4.001,3.425,5624.33,8845.25,984
261,435,167,910,1,1,1,-2.349,0.086,1.474,14,3.096,169.421,1,1,2089,732.8,4.001,3.426,5624.25,8839.94,983
160,420,183,560,1,2,1,-2.539,0.089,0.724,36,2.914,436.508,1,1,2086.91,732,4.001,3.427,5624.36,8834.91,982
160,350,166,490,1,2,1,-2.347,0.089,1.494,84,2.999,1049.613,0,1,2084.55,731.2,4.001,3.426,5624.31,8807.3,981
180,375,200,470,1,1,1,-2.842,0.091,2.499,68,2.564,894.099,0,1,2083.19,731.2,4.001,3.427,5624.31,8812.31,980
150,235,161,270,1,2,1,-2.706,0.092,2.938,34,2.754,379.735,1,1,2081.8,727.2,4.001,3.428,5588.31,8816.34,979
150,250,180,380,1,3,1,-2.341,0.095,0.892,28,3.84,273.243,1,1,2079.97,727.2,4.001,3.427,5588.28,8807.45,978
190,280,231,450,1,1,1,-2.338,0.098,1.255,28,3.019,347.495,0,1,2078.72,727.2,4.001,3.428,5588.39,8820.2,977
167,370,173,350,1,3,1,-2.338,0.098,1.386,14,2.841,184.681,1,1,2076.91,729.6,4.001,3.427,5588.36,8797.52,976
135,315,165,230,1,3,1,-2.396,0.099,0.637,15,2.931,182.928,1,1,2078.66,717.593,4.01,3.68,5558,8897.53,975
210,750,267,710,1,1,1,-2.333,0.102,1.266,14,2.884,181.921,1,1,2077.22,717.6,3.996,3.76,5516.34,8858.62,974
150,180,178,240,1,3,1,-2.301,0.103,0.235,38,2.838,431.503,1,1,2080.69,725.6,3.999,3.433,5588.34,8807.22,973
157,325,172,390,1,3,2,-2.332,0.104,1.552,14,2.724,192.593,1,1,2079.28,725.6,4,3.429,5588.34,8828.72,972
160,270,193,190,1,3,2,-2.705,0,3.052,16,3.039,175.842,1,2,2076.56,723.6,4,3.429,5588.31,8812.88,971
160,425,181,570,1,2,1,-2.705,0,3.07,32,3.013,354.747,1,2,2074.47,726,4,3.429,5588.34,8809.44,970
140,310,168,230,1,3,1,-2.695,0.01,2.882,32,2.97,359.824,1,2,2071.62,720,4,3.431,5588.41,8778,969
200,350,171,440,1,1,1,-2.694,0.011,2.88,32,2.957,361.437,1,2,2070.34,722.4062,3.999,3.43,5552.31,8808.19,968
250,515,184,560,1,1,0,-2.694,0.011,2.965,32,2.926,365.204,1,2,2069.03,722.4,4,3.43,5552.34,8804.88,967
155,255,154,210,1,3,1,-2.691,0.014,2.962,16,2.882,185.391,1,2,2067.62,722.3938,4,3.431,5552.31,8805.75,966
200,380,228,610,1,1,1,-2.849,0.014,3.487,22,2.74,267.86,1,2,2065.16,720.8,3.999,3.43,5552.31,8784.09,965
130,195,166,170,1,3,1,-2.685,0.019,2.823,32,2.997,356.585,1,2,2063.19,716.7814,3.999,3.431,5552.31,8806.03,964
130,195,166,170,1,3,1,-2.712,0.033,2.869,26,3.3,293.746,1,2,2060.94,715.2,3.999,3.432,5552.34,8776.62,963
167,365,175,340,1,3,1,-2.824,0.036,0.037,80,3.343,850.626,0,2,2058.47,716.99225,3.999,3.433,5516.31,8743.38,962
150,335,173,210,1,3,1,-2.632,0.046,0.99,28,3.598,284.227,1,2,2056.81,713.6,3.998,3.433,5516.34,8739.5,961
250,365,195,730,1,1,1,-2.972,0.051,1.369,40,2.603,1235.941,0,2,2056.25,713.6,3.999,3.433,5516.31,8781.31,960
150,575,104,540,1,1,1,-2.626,0.052,0,14,3.609,141.676,1,2,2054.41,713.6,3.998,3.434,5516.38,8763.88,959
150,335,188,350,1,3,1,-2.623,0.054,0.11,84,3.55,864.216,0,2,2052.81,711.6,3.998,3.434,5516.34,8734.62,958
200,365,237,590,1,1,1,-2.65,0.054,2.852,64,2.8,763.324,1,2,2051.94,711.6,3.998,3.435,5516.31,8772.62,957
410,970,206,920,1,1,1,-2.95,0.055,3.376,20,2.634,1342.122,0,2,2050.28,712,3.998,3.435,5516.41,8748.69,956
150,255,176,390,1,3,1,-2.968,0.055,1.154,50,2.76,1165.318,0,2,2049.09,708,3.998,3.435,5480.25,8772.62,955
160,420,183,560,1,2,1,-2.757,0.059,1.363,35,3.047,998.5,0,2,2047.5,708,3.998,3.435,5480.38,8766.19,954
250,450,211,490,1,1,0,-2.802,0.061,3.072,66,2.661,827.376,1,2,2045.5,706.4,3.997,3.437,5480.31,8747.12,953
145,170,168,190,1,2,1,-2.779,0.067,3.077,64,3.034,770.62,1,2,2043.88,706.4,3.998,3.436,5480.31,8719.94,952
150,250,180,380,1,3,1,-2.709,0.069,1.472,52,2.895,559.694,1,2,2043.88,696,4.007,3.691,5453.06,8809.94,951
135,130,164,560,0,2,0,-2.791,0.072,2.607,66,2.933,750.79,1,2,2063.62,704.8,3.992,3.778,5408.45,8837.34,950
150,250,180,380,1,3,1,-2.939,0.073,3.783,68,2.29,989.646,0,2,2063.94,709.6,3.994,3.437,5516.32,8844.64,949
261,505,188,550,1,1,0,-2.603,0.074,1.059,28,3.325,307.52,1,2,2060.42,705.6,3.994,3.437,5516.38,8830.3,948
135,255,161,230,1,3,1,-2.762,0.076,1.527,84,2.856,1123.305,0,2,2056.9,705.6,3.995,3.437,5516.38,8792.38,947
241,410,177,900,1,1,1,-2.529,0.077,0.235,40,2.798,436.412,1,2,2054.37,705.6,3.995,3.437,5516.32,8818.78,946
160,440,198,520,1,3,1,-2.784,0.079,2.76,66,2.933,750.671,1,2,2051.17,704,3.995,3.438,5516.32,8789.41,945
200,365,232,340,1,1,1,-2.666,0.079,2.696,26,2.944,329.286,1,2,2047.81,702,3.995,3.438,5480.35,8762.31,944
180,450,200,430,1,2,1,-2.78,0.08,1.2,80,3.306,860.04,1,2,2045.38,702.4,3.994,3.44,5480.35,8773.66,943
250,425,197,890,1,1,1,-2.595,0.082,1.267,56,2.994,683.102,1,2,2042.37,698.3936,3.994,3.441,5480.36,8741.28,942
123,190,200,190,1,3,1,-2.764,0.083,3.248,64,2.436,959.619,0,2,2039.71,698.4,3.995,3.441,5480.32,8740.1,941
190,460,261,710,1,1,1,-2.591,0.087,1.569,28,2.988,342.286,1,2,2036.9,694.4,3.994,3.442,5444.32,8750.37,940
130,160,194,710,0,3,0,-2.481,0.088,0.889,60,3.573,602.169,1,2,2035.27,694.8,3.995,3.442,5444.35,8747.84,939
180,430,209,410,1,1,1,-2.584,0.093,0,14,3.855,132.65,1,2,2033.47,694.8,3.994,3.443,5444.32,8731.49,938
160,230,165,260,1,2,1,-2.581,0.097,0.903,14,3.739,136.74,1,2,2032,692.8,3.994,3.443,5444.34,8720.34,937
160,400,193,540,1,1,1,-2.626,0,3.121,32,3.094,347.336,1,2,2030.14,692.8,3.995,3.443,5444.33,8684.33,936
250,385,217,770,1,1,1,-2.626,0.001,3.124,16,3.123,172.094,1,2,2028,688.8,3.995,3.444,5408.38,8706.36,935
190,390,244,460,1,1,1,-2.818,0.003,2.745,80,3.333,856.726,1,2,2026.05,691.2,3.994,3.444,5408.25,8705.12,934
140,225,156,270,1,3,1,-2.621,0.005,2.993,32,3.065,350.604,1,2,2024.38,687.2020667,3.994,3.444,5408.31,8708.16,933
155,235,167,230,1,3,1,-2.621,0.005,3.089,32,3.049,352.518,1,2,2022.75,689.6,3.994,3.445,5408.34,8713.08,932
180,410,188,550,1,1,1,-2.56,0.008,2.314,40,2.831,433.391,1,2,2020.77,687.6,3.994,3.445,5408.33,8698.22,931
130,95,176,550,0,2,0,-2.618,0.009,2.946,32,3.01,357.063,1,2,2020.39,686.99225,3.995,3.445,5408.34,8709.16,930
180,340,206,360,1,1,1,-2.611,0.01,2.3,28,3.563,288.72,1,2,2018.94,687.6,3.994,3.445,5408.36,8701.61,929
260,390,215,810,1,1,1,-2.81,0.011,3.023,10,2.523,141.451,1,2,2018.08,685.6,3.994,3.446,5372.36,8710.62,928
160,340,171,470,1,2,1,-2.615,0.011,2.965,16,2.948,182.303,1,2,2017.06,676.813,4.003,3.697,5355,8766.66,927
250,440,216,480,1,1,0,-2.613,0.014,2.924,32,3.07,350.111,1,2,2016.22,676,3.989,3.773,5336.34,8762.41,926
130,100,167,480,0,2,0,-2.791,0.015,3.314,22,2.807,262.576,1,2,2021.81,685,3.993,3.451,5372.34,8703.72,925
180,360,194,380,1,2,1,-2.604,0.018,2.961,28,2.89,355.979,1,2,2020.78,685.6,3.994,3.447,5408.38,8719.75,924
140,330,273,290,1,3,1,-2.607,0.02,2.957,32,2.986,359.989,1,2,2018.25,684,3.993,3.446,5372.38,8714.94,923
150,250,168,330,1,3,1,-2.598,0.023,2.959,56,2.881,714.127,1,2,2016.12,686.4,3.993,3.446,5372.34,8699.53,922
180,390,256,740,1,2,1,-2.598,0.024,2.979,56,2.875,715.629,1,2,2014.19,682.3855333,3.993,3.447,5372.34,8691.94,921
190,295,219,470,1,1,1,-2.597,0.025,2.963,28,2.866,358.902,1,2,2012.34,680.4,3.993,3.448,5372.38,8698.09,920
180,400,193,540,1,1,1,-2.597,0.025,2.874,14,2.863,179.638,1,2,2010.22,680.8,3.993,3.448,5372.34,8691.31,919
160,320,181,440,1,2,1,-2.976,0.032,3.386,20,2.592,1243.201,0,2,2008.03,676.8,3.993,3.448,5372.38,8680.53,918
210,320,270,510,1,1,1,-2.588,0.034,1.657,14,3.628,141.773,1,2,2006.38,676.8,3.993,3.449,5336.31,8661.19,917
130,95,176,320,0,2,0,-2.587,0.035,1.675,84,3.644,846.947,1,2,2004.31,676.8,3.993,3.449,5336.38,8664.91,916
